-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2014 through 12/31/2023 
Location: Latitude  6.25   Longitude -75.58 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2074.31 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS10M_MAX     MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
-END HEADER-
YEAR,MO,DY,WS10M_MAX
2014,1,1,1.41
2014,1,2,1.06
2014,1,3,1.5
2014,1,4,1.96
2014,1,5,1.46
2014,1,6,1.35
2014,1,7,1.29
2014,1,8,1.27
2014,1,9,1.51
2014,1,10,1.2
2014,1,11,1.13
2014,1,12,1.27
2014,1,13,1.8
2014,1,14,1.94
2014,1,15,1.93
2014,1,16,2.17
2014,1,17,1.91
2014,1,18,1.91
2014,1,19,1.39
2014,1,20,1.45
2014,1,21,1.68
2014,1,22,1.43
2014,1,23,1.96
2014,1,24,1.83
2014,1,25,1.36
2014,1,26,1.29
2014,1,27,1.41
2014,1,28,1.6
2014,1,29,1.62
2014,1,30,1.01
2014,1,31,2.03
2014,2,1,2.04
2014,2,2,1.56
2014,2,3,1.2
2014,2,4,1.12
2014,2,5,1.55
2014,2,6,1.28
2014,2,7,1.52
2014,2,8,1.95
2014,2,9,1.24
2014,2,10,1.73
2014,2,11,1.71
2014,2,12,1.7
2014,2,13,0.97
2014,2,14,0.94
2014,2,15,1.52
2014,2,16,1.63
2014,2,17,1.56
2014,2,18,1.49
2014,2,19,1.38
2014,2,20,1.22
2014,2,21,1.32
2014,2,22,1.34
2014,2,23,1.92
2014,2,24,1.75
2014,2,25,1.19
2014,2,26,1.37
2014,2,27,2.51
2014,2,28,1.62
2014,3,1,2.73
2014,3,2,1.41
2014,3,3,1.8
2014,3,4,1.18
2014,3,5,1.16
2014,3,6,1.16
2014,3,7,1.61
2014,3,8,1.54
2014,3,9,1.92
2014,3,10,0.91
2014,3,11,1.12
2014,3,12,1.59
2014,3,13,1.25
2014,3,14,1.03
2014,3,15,1.79
2014,3,16,1.35
2014,3,17,1.39
2014,3,18,1.36
2014,3,19,1.2
2014,3,20,1.85
2014,3,21,2.56
2014,3,22,1.7
2014,3,23,2.11
2014,3,24,1.06
2014,3,25,1.22
2014,3,26,1.76
2014,3,27,2.27
2014,3,28,1.59
2014,3,29,1.72
2014,3,30,1.65
2014,3,31,1.56
2014,4,1,2.09
2014,4,2,1.57
2014,4,3,1.91
2014,4,4,1.59
2014,4,5,1.52
2014,4,6,2.59
2014,4,7,1.51
2014,4,8,1.74
2014,4,9,1.59
2014,4,10,2.4
2014,4,11,2.1
2014,4,12,2.34
2014,4,13,1.9
2014,4,14,1.45
2014,4,15,1.25
2014,4,16,1.91
2014,4,17,1.6
2014,4,18,1.99
2014,4,19,2.28
2014,4,20,1.76
2014,4,21,1.29
2014,4,22,1.51
2014,4,23,1.2
2014,4,24,1.8
2014,4,25,1.42
2014,4,26,1.69
2014,4,27,1.37
2014,4,28,1.55
2014,4,29,1.5
2014,4,30,0.97
2014,5,1,1.47
2014,5,2,1.41
2014,5,3,1.22
2014,5,4,1.2
2014,5,5,1.35
2014,5,6,1.41
2014,5,7,1.24
2014,5,8,1.13
2014,5,9,1.29
2014,5,10,1.88
2014,5,11,1.48
2014,5,12,1.46
2014,5,13,2.03
2014,5,14,1.74
2014,5,15,1.67
2014,5,16,1.32
2014,5,17,1.26
2014,5,18,1.57
2014,5,19,1.41
2014,5,20,1.51
2014,5,21,0.9
2014,5,22,1.57
2014,5,23,1.36
2014,5,24,1.62
2014,5,25,1.86
2014,5,26,1.71
2014,5,27,1.87
2014,5,28,1.58
2014,5,29,1.34
2014,5,30,1.33
2014,5,31,1.18
2014,6,1,1.38
2014,6,2,1.79
2014,6,3,0.97
2014,6,4,1.45
2014,6,5,1.22
2014,6,6,1.46
2014,6,7,1.52
2014,6,8,1.27
2014,6,9,1.71
2014,6,10,1.48
2014,6,11,1.51
2014,6,12,1.68
2014,6,13,1.73
2014,6,14,2.29
2014,6,15,1.96
2014,6,16,2.05
2014,6,17,2.08
2014,6,18,2.74
2014,6,19,2.38
2014,6,20,1.76
2014,6,21,2.1
2014,6,22,1.77
2014,6,23,1.9
2014,6,24,2.31
2014,6,25,1.49
2014,6,26,2.45
2014,6,27,2.32
2014,6,28,1.48
2014,6,29,2.0
2014,6,30,1.92
2014,7,1,1.14
2014,7,2,1.69
2014,7,3,1.41
2014,7,4,1.94
2014,7,5,1.5
2014,7,6,2.23
2014,7,7,1.91
2014,7,8,2.0
2014,7,9,2.16
2014,7,10,1.55
2014,7,11,2.36
2014,7,12,2.36
2014,7,13,2.59
2014,7,14,2.41
2014,7,15,2.36
2014,7,16,2.7
2014,7,17,2.59
2014,7,18,2.52
2014,7,19,2.52
2014,7,20,1.87
2014,7,21,2.07
2014,7,22,2.7
2014,7,23,2.45
2014,7,24,2.34
2014,7,25,1.79
2014,7,26,1.67
2014,7,27,1.81
2014,7,28,2.69
2014,7,29,1.96
2014,7,30,2.38
2014,7,31,1.78
2014,8,1,1.31
2014,8,2,1.75
2014,8,3,2.23
2014,8,4,1.92
2014,8,5,1.83
2014,8,6,1.57
2014,8,7,1.9
2014,8,8,1.52
2014,8,9,1.77
2014,8,10,1.25
2014,8,11,1.71
2014,8,12,1.7
2014,8,13,2.33
2014,8,14,2.15
2014,8,15,2.31
2014,8,16,2.0
2014,8,17,1.56
2014,8,18,1.78
2014,8,19,1.27
2014,8,20,1.98
2014,8,21,1.7
2014,8,22,1.56
2014,8,23,1.27
2014,8,24,1.29
2014,8,25,1.55
2014,8,26,1.89
2014,8,27,1.98
2014,8,28,0.93
2014,8,29,2.38
2014,8,30,2.14
2014,8,31,1.79
2014,9,1,1.86
2014,9,2,2.65
2014,9,3,0.95
2014,9,4,1.94
2014,9,5,1.66
2014,9,6,1.68
2014,9,7,2.46
2014,9,8,2.28
2014,9,9,2.17
2014,9,10,1.43
2014,9,11,1.7
2014,9,12,1.41
2014,9,13,1.38
2014,9,14,1.49
2014,9,15,1.91
2014,9,16,1.34
2014,9,17,1.31
2014,9,18,2.27
2014,9,19,1.0
2014,9,20,1.88
2014,9,21,1.22
2014,9,22,1.64
2014,9,23,1.54
2014,9,24,1.88
2014,9,25,1.12
2014,9,26,1.75
2014,9,27,1.66
2014,9,28,1.63
2014,9,29,2.34
2014,9,30,2.43
2014,10,1,1.77
2014,10,2,2.36
2014,10,3,1.72
2014,10,4,1.06
2014,10,5,1.33
2014,10,6,1.16
2014,10,7,1.16
2014,10,8,1.38
2014,10,9,1.91
2014,10,10,1.8
2014,10,11,1.29
2014,10,12,1.98
2014,10,13,2.02
2014,10,14,2.06
2014,10,15,1.58
2014,10,16,1.74
2014,10,17,1.56
2014,10,18,1.56
2014,10,19,1.32
2014,10,20,0.94
2014,10,21,0.88
2014,10,22,1.13
2014,10,23,1.05
2014,10,24,1.54
2014,10,25,1.66
2014,10,26,2.51
2014,10,27,1.45
2014,10,28,0.98
2014,10,29,1.57
2014,10,30,1.69
2014,10,31,1.03
2014,11,1,1.59
2014,11,2,1.64
2014,11,3,1.37
2014,11,4,1.39
2014,11,5,1.43
2014,11,6,1.21
2014,11,7,1.36
2014,11,8,1.08
2014,11,9,1.16
2014,11,10,1.39
2014,11,11,1.17
2014,11,12,1.35
2014,11,13,2.02
2014,11,14,1.41
2014,11,15,1.54
2014,11,16,1.08
2014,11,17,1.03
2014,11,18,1.34
2014,11,19,1.23
2014,11,20,1.58
2014,11,21,1.39
2014,11,22,1.11
2014,11,23,1.33
2014,11,24,1.22
2014,11,25,1.2
2014,11,26,1.32
2014,11,27,1.53
2014,11,28,1.78
2014,11,29,1.71
2014,11,30,2.14
2014,12,1,1.3
2014,12,2,1.7
2014,12,3,1.84
2014,12,4,1.82
2014,12,5,1.12
2014,12,6,1.17
2014,12,7,1.23
2014,12,8,1.1
2014,12,9,1.65
2014,12,10,1.45
2014,12,11,0.73
2014,12,12,1.27
2014,12,13,1.74
2014,12,14,1.3
2014,12,15,1.4
2014,12,16,1.45
2014,12,17,1.55
2014,12,18,1.44
2014,12,19,1.22
2014,12,20,1.24
2014,12,21,1.45
2014,12,22,1.73
2014,12,23,2.25
2014,12,24,1.79
2014,12,25,2.2
2014,12,26,2.19
2014,12,27,2.23
2014,12,28,1.52
2014,12,29,1.43
2014,12,30,1.47
2014,12,31,1.82
2015,1,1,2.05
2015,1,2,2.74
2015,1,3,2.59
2015,1,4,2.71
2015,1,5,2.54
2015,1,6,2.38
2015,1,7,2.52
2015,1,8,1.8
2015,1,9,1.77
2015,1,10,1.9
2015,1,11,1.82
2015,1,12,2.01
2015,1,13,1.38
2015,1,14,1.66
2015,1,15,2.28
2015,1,16,2.44
2015,1,17,1.23
2015,1,18,1.59
2015,1,19,1.83
2015,1,20,1.09
2015,1,21,1.32
2015,1,22,1.36
2015,1,23,1.07
2015,1,24,1.18
2015,1,25,1.07
2015,1,26,1.93
2015,1,27,2.29
2015,1,28,1.34
2015,1,29,2.32
2015,1,30,2.16
2015,1,31,1.46
2015,2,1,1.52
2015,2,2,1.8
2015,2,3,2.34
2015,2,4,2.05
2015,2,5,2.26
2015,2,6,1.38
2015,2,7,1.23
2015,2,8,1.04
2015,2,9,1.52
2015,2,10,1.47
2015,2,11,1.37
2015,2,12,2.17
2015,2,13,2.54
2015,2,14,2.34
2015,2,15,2.0
2015,2,16,1.8
2015,2,17,1.58
2015,2,18,1.35
2015,2,19,1.76
2015,2,20,1.84
2015,2,21,2.0
2015,2,22,2.41
2015,2,23,1.84
2015,2,24,1.2
2015,2,25,1.17
2015,2,26,0.88
2015,2,27,2.18
2015,2,28,2.18
2015,3,1,1.39
2015,3,2,1.5
2015,3,3,1.84
2015,3,4,1.82
2015,3,5,1.87
2015,3,6,2.34
2015,3,7,2.45
2015,3,8,2.78
2015,3,9,2.41
2015,3,10,2.53
2015,3,11,1.83
2015,3,12,1.79
2015,3,13,1.8
2015,3,14,1.66
2015,3,15,1.52
2015,3,16,1.65
2015,3,17,2.43
2015,3,18,2.01
2015,3,19,2.65
2015,3,20,1.75
2015,3,21,1.82
2015,3,22,1.98
2015,3,23,1.74
2015,3,24,1.71
2015,3,25,2.11
2015,3,26,1.34
2015,3,27,1.73
2015,3,28,1.16
2015,3,29,1.25
2015,3,30,1.52
2015,3,31,1.09
2015,4,1,1.55
2015,4,2,0.84
2015,4,3,1.45
2015,4,4,1.48
2015,4,5,1.84
2015,4,6,1.52
2015,4,7,2.27
2015,4,8,1.66
2015,4,9,1.91
2015,4,10,1.5
2015,4,11,1.46
2015,4,12,1.54
2015,4,13,1.67
2015,4,14,1.22
2015,4,15,1.33
2015,4,16,1.77
2015,4,17,1.34
2015,4,18,1.3
2015,4,19,1.39
2015,4,20,1.09
2015,4,21,1.54
2015,4,22,2.09
2015,4,23,1.97
2015,4,24,2.94
2015,4,25,2.36
2015,4,26,2.31
2015,4,27,1.85
2015,4,28,1.66
2015,4,29,2.23
2015,4,30,1.65
2015,5,1,1.63
2015,5,2,1.67
2015,5,3,1.42
2015,5,4,1.31
2015,5,5,2.24
2015,5,6,1.99
2015,5,7,1.93
2015,5,8,2.52
2015,5,9,2.39
2015,5,10,2.0
2015,5,11,2.18
2015,5,12,2.3
2015,5,13,1.95
2015,5,14,1.9
2015,5,15,1.8
2015,5,16,1.45
2015,5,17,2.19
2015,5,18,2.66
2015,5,19,2.09
2015,5,20,2.05
2015,5,21,1.88
2015,5,22,1.41
2015,5,23,1.74
2015,5,24,1.48
2015,5,25,1.33
2015,5,26,1.17
2015,5,27,1.81
2015,5,28,2.95
2015,5,29,1.1
2015,5,30,0.97
2015,5,31,1.3
2015,6,1,1.47
2015,6,2,1.61
2015,6,3,2.05
2015,6,4,1.54
2015,6,5,1.35
2015,6,6,1.45
2015,6,7,1.66
2015,6,8,1.32
2015,6,9,0.84
2015,6,10,1.45
2015,6,11,1.8
2015,6,12,1.78
2015,6,13,1.84
2015,6,14,2.12
2015,6,15,1.76
2015,6,16,2.31
2015,6,17,1.98
2015,6,18,2.63
2015,6,19,2.37
2015,6,20,2.12
2015,6,21,2.28
2015,6,22,2.55
2015,6,23,2.58
2015,6,24,3.19
2015,6,25,2.73
2015,6,26,2.63
2015,6,27,2.76
2015,6,28,2.55
2015,6,29,2.14
2015,6,30,1.86
2015,7,1,2.05
2015,7,2,1.87
2015,7,3,2.12
2015,7,4,2.23
2015,7,5,1.63
2015,7,6,1.65
2015,7,7,2.02
2015,7,8,1.73
2015,7,9,1.28
2015,7,10,2.12
2015,7,11,2.2
2015,7,12,2.2
2015,7,13,2.12
2015,7,14,1.24
2015,7,15,2.75
2015,7,16,1.53
2015,7,17,1.69
2015,7,18,1.23
2015,7,19,1.29
2015,7,20,1.66
2015,7,21,0.93
2015,7,22,2.09
2015,7,23,1.87
2015,7,24,2.7
2015,7,25,1.89
2015,7,26,2.34
2015,7,27,1.99
2015,7,28,2.23
2015,7,29,2.09
2015,7,30,1.8
2015,7,31,1.95
2015,8,1,1.77
2015,8,2,2.08
2015,8,3,2.51
2015,8,4,2.53
2015,8,5,2.21
2015,8,6,1.77
2015,8,7,1.4
2015,8,8,1.2
2015,8,9,2.05
2015,8,10,1.95
2015,8,11,2.07
2015,8,12,2.43
2015,8,13,1.37
2015,8,14,2.61
2015,8,15,1.05
2015,8,16,1.46
2015,8,17,2.28
2015,8,18,1.37
2015,8,19,1.83
2015,8,20,1.8
2015,8,21,2.02
2015,8,22,1.57
2015,8,23,1.36
2015,8,24,1.57
2015,8,25,1.66
2015,8,26,2.01
2015,8,27,1.37
2015,8,28,2.05
2015,8,29,1.63
2015,8,30,2.41
2015,8,31,2.33
2015,9,1,2.25
2015,9,2,1.69
2015,9,3,1.33
2015,9,4,1.84
2015,9,5,1.46
2015,9,6,2.44
2015,9,7,1.53
2015,9,8,1.24
2015,9,9,1.44
2015,9,10,1.81
2015,9,11,1.02
2015,9,12,2.12
2015,9,13,2.16
2015,9,14,1.84
2015,9,15,1.6
2015,9,16,1.02
2015,9,17,1.66
2015,9,18,1.41
2015,9,19,1.39
2015,9,20,1.68
2015,9,21,1.49
2015,9,22,1.69
2015,9,23,1.55
2015,9,24,2.02
2015,9,25,1.92
2015,9,26,1.58
2015,9,27,1.98
2015,9,28,1.77
2015,9,29,1.47
2015,9,30,1.62
2015,10,1,1.93
2015,10,2,1.81
2015,10,3,2.19
2015,10,4,1.69
2015,10,5,1.92
2015,10,6,2.25
2015,10,7,1.56
2015,10,8,2.26
2015,10,9,1.01
2015,10,10,1.05
2015,10,11,0.66
2015,10,12,1.2
2015,10,13,1.1
2015,10,14,1.34
2015,10,15,1.05
2015,10,16,1.26
2015,10,17,1.23
2015,10,18,1.22
2015,10,19,1.08
2015,10,20,2.01
2015,10,21,1.45
2015,10,22,2.41
2015,10,23,1.36
2015,10,24,1.15
2015,10,25,1.49
2015,10,26,1.63
2015,10,27,1.12
2015,10,28,1.09
2015,10,29,1.34
2015,10,30,1.66
2015,10,31,2.06
2015,11,1,1.45
2015,11,2,1.69
2015,11,3,1.15
2015,11,4,0.93
2015,11,5,1.28
2015,11,6,1.3
2015,11,7,1.36
2015,11,8,1.02
2015,11,9,1.26
2015,11,10,1.45
2015,11,11,1.93
2015,11,12,1.77
2015,11,13,1.42
2015,11,14,2.07
2015,11,15,1.43
2015,11,16,2.01
2015,11,17,0.9
2015,11,18,1.38
2015,11,19,1.55
2015,11,20,1.52
2015,11,21,1.41
2015,11,22,0.72
2015,11,23,1.46
2015,11,24,1.15
2015,11,25,1.24
2015,11,26,1.17
2015,11,27,1.47
2015,11,28,1.13
2015,11,29,1.44
2015,11,30,2.31
2015,12,1,2.52
2015,12,2,2.28
2015,12,3,1.43
2015,12,4,2.09
2015,12,5,1.41
2015,12,6,1.36
2015,12,7,1.27
