-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2014 through 12/31/2023 
Location: Latitude  6.75   Longitude -75.6 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1774.15 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS10M_MAX     MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
-END HEADER-
YEAR,MO,DY,WS10M_MAX
2014,1,1,1.93
2014,1,2,2.03
2014,1,3,1.29
2014,1,4,2.19
2014,1,5,1.2
2014,1,6,2.47
2014,1,7,2.05
2014,1,8,2.11
2014,1,9,2.5
2014,1,10,2.27
2014,1,11,2.28
2014,1,12,1.54
2014,1,13,1.84
2014,1,14,2.11
2014,1,15,1.91
2014,1,16,2.28
2014,1,17,2.08
2014,1,18,1.82
2014,1,19,1.48
2014,1,20,2.12
2014,1,21,1.45
2014,1,22,2.77
2014,1,23,2.29
2014,1,24,2.49
2014,1,25,2.38
2014,1,26,2.46
2014,1,27,2.4
2014,1,28,2.33
2014,1,29,2.26
2014,1,30,2.13
2014,1,31,2.06
2014,2,1,1.82
2014,2,2,2.11
2014,2,3,2.59
2014,2,4,2.26
2014,2,5,2.52
2014,2,6,1.68
2014,2,7,1.7
2014,2,8,2.02
2014,2,9,1.96
2014,2,10,2.09
2014,2,11,1.14
2014,2,12,2.04
2014,2,13,2.09
2014,2,14,1.22
2014,2,15,1.77
2014,2,16,2.45
2014,2,17,2.18
2014,2,18,1.96
2014,2,19,1.91
2014,2,20,1.98
2014,2,21,2.96
2014,2,22,1.88
2014,2,23,2.38
2014,2,24,2.41
2014,2,25,2.09
2014,2,26,2.62
2014,2,27,3.27
2014,2,28,2.53
2014,3,1,3.45
2014,3,2,2.49
2014,3,3,2.5
2014,3,4,1.89
2014,3,5,2.17
2014,3,6,1.8
2014,3,7,2.08
2014,3,8,2.43
2014,3,9,3.31
2014,3,10,2.07
2014,3,11,1.87
2014,3,12,2.51
2014,3,13,2.74
2014,3,14,2.05
2014,3,15,2.45
2014,3,16,2.52
2014,3,17,1.54
2014,3,18,2.52
2014,3,19,1.77
2014,3,20,1.42
2014,3,21,2.85
2014,3,22,3.02
2014,3,23,1.97
2014,3,24,2.73
2014,3,25,1.2
2014,3,26,2.63
2014,3,27,2.69
2014,3,28,2.59
2014,3,29,2.87
2014,3,30,2.8
2014,3,31,2.75
2014,4,1,1.88
2014,4,2,2.1
2014,4,3,1.84
2014,4,4,2.32
2014,4,5,1.91
2014,4,6,2.22
2014,4,7,1.13
2014,4,8,1.53
2014,4,9,3.03
2014,4,10,2.35
2014,4,11,2.12
2014,4,12,2.15
2014,4,13,1.68
2014,4,14,1.66
2014,4,15,2.09
2014,4,16,3.04
2014,4,17,2.19
2014,4,18,2.2
2014,4,19,2.61
2014,4,20,1.53
2014,4,21,1.77
2014,4,22,1.71
2014,4,23,2.17
2014,4,24,2.54
2014,4,25,1.32
2014,4,26,1.77
2014,4,27,2.09
2014,4,28,2.2
2014,4,29,1.56
2014,4,30,2.08
2014,5,1,1.38
2014,5,2,1.89
2014,5,3,1.53
2014,5,4,2.42
2014,5,5,2.27
2014,5,6,1.34
2014,5,7,2.25
2014,5,8,2.21
2014,5,9,2.0
2014,5,10,2.01
2014,5,11,2.28
2014,5,12,1.88
2014,5,13,2.29
2014,5,14,1.32
2014,5,15,2.16
2014,5,16,2.41
2014,5,17,1.88
2014,5,18,1.86
2014,5,19,1.68
2014,5,20,1.92
2014,5,21,1.92
2014,5,22,1.61
2014,5,23,1.72
2014,5,24,1.62
2014,5,25,1.86
2014,5,26,1.38
2014,5,27,1.48
2014,5,28,1.96
2014,5,29,1.59
2014,5,30,2.79
2014,5,31,1.25
2014,6,1,1.28
2014,6,2,1.78
2014,6,3,1.77
2014,6,4,1.49
2014,6,5,1.66
2014,6,6,1.41
2014,6,7,1.73
2014,6,8,1.52
2014,6,9,1.5
2014,6,10,1.7
2014,6,11,1.98
2014,6,12,1.79
2014,6,13,1.46
2014,6,14,2.26
2014,6,15,1.84
2014,6,16,1.65
2014,6,17,1.91
2014,6,18,2.53
2014,6,19,2.25
2014,6,20,1.7
2014,6,21,2.39
2014,6,22,1.54
2014,6,23,2.11
2014,6,24,2.46
2014,6,25,2.91
2014,6,26,2.68
2014,6,27,2.12
2014,6,28,1.59
2014,6,29,2.27
2014,6,30,2.17
2014,7,1,1.38
2014,7,2,2.08
2014,7,3,1.7
2014,7,4,2.0
2014,7,5,1.66
2014,7,6,2.17
2014,7,7,2.02
2014,7,8,2.3
2014,7,9,1.95
2014,7,10,1.83
2014,7,11,2.09
2014,7,12,1.84
2014,7,13,2.45
2014,7,14,2.45
2014,7,15,2.34
2014,7,16,2.51
2014,7,17,2.4
2014,7,18,2.42
2014,7,19,2.34
2014,7,20,1.59
2014,7,21,2.06
2014,7,22,2.99
2014,7,23,2.13
2014,7,24,2.18
2014,7,25,2.15
2014,7,26,2.08
2014,7,27,1.66
2014,7,28,2.58
2014,7,29,1.8
2014,7,30,2.05
2014,7,31,1.23
2014,8,1,1.82
2014,8,2,1.8
2014,8,3,1.99
2014,8,4,2.55
2014,8,5,2.05
2014,8,6,1.49
2014,8,7,1.63
2014,8,8,1.82
2014,8,9,1.78
2014,8,10,1.86
2014,8,11,1.42
2014,8,12,2.11
2014,8,13,2.27
2014,8,14,2.05
2014,8,15,2.05
