-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2014 through 12/31/2023 
Location: Latitude  6.5   Longitude -75.25 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1291.33 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS10M_MAX     MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
-END HEADER-
YEAR,MO,DY,WS10M_MAX
2014,9,26,1.11
2014,9,27,1.26
2014,9,28,1.69
2014,9,29,1.4
2014,9,30,1.26
2014,10,1,1.3
2014,10,2,1.3
2014,10,3,1.23
2014,10,4,1.16
2014,10,5,0.83
2014,10,6,0.87
2014,10,7,0.79
2014,10,8,0.87
2014,10,9,1.12
2014,10,10,1.05
2014,10,11,1.25
2014,10,12,1.05
2014,10,13,1.12
2014,10,14,1.25
2014,10,15,1.32
2014,10,16,1.25
2014,10,17,0.91
2014,10,18,1.05
2014,10,19,0.88
2014,10,20,1.28
2014,10,21,1.05
2014,10,22,0.91
2014,10,23,1.34
2014,10,24,1.05
2014,10,25,1.44
2014,10,26,1.41
2014,10,27,1.12
2014,10,28,1.05
2014,10,29,0.96
2014,10,30,1.3
2014,10,31,1.01
2014,11,1,1.28
2014,11,2,1.16
2014,11,3,1.25
2014,11,4,0.98
2014,11,5,1.03
2014,11,6,1.68
2014,11,7,1.01
2014,11,8,1.12
2014,11,9,1.09
2014,11,10,0.87
2014,11,11,1.16
2014,11,12,1.45
2014,11,13,1.28
2014,11,14,0.95
2014,11,15,1.28
2014,11,16,1.14
2014,11,17,1.27
2014,11,18,1.02
2014,11,19,0.91
2014,11,20,1.6
2014,11,21,1.39
2014,11,22,1.31
2014,11,23,1.2
2014,11,24,1.25
2014,11,25,0.85
2014,11,26,1.5
2014,11,27,1.1
2014,11,28,1.12
2014,11,29,1.36
2014,11,30,1.55
2014,12,1,0.88
2014,12,2,1.05
2014,12,3,1.16
2014,12,4,1.54
2014,12,5,1.24
2014,12,6,0.88
2014,12,7,1.18
2014,12,8,0.95
2014,12,9,1.17
2014,12,10,1.38
2014,12,11,1.03
2014,12,12,1.1
2014,12,13,0.99
2014,12,14,1.09
2014,12,15,1.24
2014,12,16,1.31
2014,12,17,1.4
2014,12,18,1.29
2014,12,19,1.33
2014,12,20,1.42
2014,12,21,1.47
2014,12,22,1.4
2014,12,23,2.02
2014,12,24,1.66
2014,12,25,1.1
2014,12,26,1.59
2014,12,27,1.7
2014,12,28,1.41
2014,12,29,1.2
2014,12,30,1.16
2014,12,31,1.16
2015,1,1,1.65
2015,1,2,1.59
2015,1,3,1.88
2015,1,4,2.1
2015,1,5,2.09
2015,1,6,1.76
2015,1,7,2.13
2015,1,8,2.07
2015,1,9,1.81
2015,1,10,1.84
2015,1,11,1.86
2015,1,12,1.24
2015,1,13,1.2
2015,1,14,1.49
2015,1,15,1.59
2015,1,16,1.35
2015,1,17,1.27
2015,1,18,1.36
2015,1,19,1.36
2015,1,20,1.41
2015,1,21,1.21
2015,1,22,0.99
2015,1,23,1.0
2015,1,24,1.38
2015,1,25,1.26
2015,1,26,1.91
2015,1,27,1.65
2015,1,28,1.56
2015,1,29,1.9
2015,1,30,1.45
2015,1,31,1.02
2015,2,1,1.16
2015,2,2,1.2
2015,2,3,1.45
2015,2,4,1.46
2015,2,5,1.26
2015,2,6,0.95
2015,2,7,1.36
2015,2,8,1.43
2015,2,9,1.41
2015,2,10,1.12
2015,2,11,1.28
2015,2,12,1.33
2015,2,13,1.12
2015,2,14,1.36
2015,2,15,1.26
2015,2,16,1.41
2015,2,17,1.47
2015,2,18,1.59
2015,2,19,1.81
2015,2,20,1.7
2015,2,21,1.3
2015,2,22,1.95
2015,2,23,1.84
2015,2,24,1.26
2015,2,25,1.41
2015,2,26,1.02
2015,2,27,1.31
2015,2,28,1.36
2015,3,1,1.41
2015,3,2,1.2
2015,3,3,1.38
2015,3,4,1.56
2015,3,5,1.38
2015,3,6,1.37
2015,3,7,1.52
2015,3,8,1.4
