-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2014 through 12/31/2023 
Location: Latitude  6.5   Longitude -75.95 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1255.81 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS10M_MAX     MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
-END HEADER-
YEAR,MO,DY,WS10M_MAX
2014,1,1,2.55
2014,1,2,3.48
2014,1,3,2.66
2014,1,4,2.64
2014,1,5,3.58
2014,1,6,2.2
2014,1,7,3.16
2014,1,8,3.0
2014,1,9,2.92
2014,1,10,3.41
2014,1,11,2.73
2014,1,12,2.46
2014,1,13,2.97
2014,1,14,2.82
2014,1,15,2.7
2014,1,16,2.92
2014,1,17,2.52
2014,1,18,2.25
2014,1,19,1.67
2014,1,20,3.13
2014,1,21,3.75
2014,1,22,3.42
2014,1,23,3.11
2014,1,24,3.34
2014,1,25,3.01
2014,1,26,3.4
2014,1,27,3.18
2014,1,28,3.53
2014,1,29,3.24
2014,1,30,3.25
2014,1,31,2.68
2014,2,1,3.42
2014,2,2,2.84
2014,2,3,3.35
2014,2,4,2.91
2014,2,5,2.65
2014,2,6,3.13
2014,2,7,3.51
2014,2,8,3.52
2014,2,9,3.23
2014,2,10,2.12
2014,2,11,2.33
2014,2,12,2.7
2014,2,13,3.29
2014,2,14,3.19
2014,2,15,3.91
2014,2,16,3.06
2014,2,17,2.73
2014,2,18,2.91
2014,2,19,2.98
2014,2,20,3.58
2014,2,21,4.46
2014,2,22,2.8
2014,2,23,1.91
2014,2,24,2.59
2014,2,25,3.49
2014,2,26,3.79
2014,2,27,4.23
2014,2,28,2.54
2014,3,1,3.2
2014,3,2,3.7
2014,3,3,3.31
2014,3,4,3.79
2014,3,5,3.63
2014,3,6,3.48
2014,3,7,3.84
2014,3,8,3.15
2014,3,9,3.91
2014,3,10,3.66
2014,3,11,3.49
2014,3,12,4.48
2014,3,13,4.48
2014,3,14,2.56
2014,3,15,3.64
2014,3,16,3.33
2014,3,17,3.2
2014,3,18,3.84
2014,3,19,2.54
2014,3,20,3.23
2014,3,21,3.51
2014,3,22,3.23
2014,3,23,2.96
2014,3,24,2.94
2014,3,25,2.31
2014,3,26,2.64
2014,3,27,2.38
2014,3,28,2.45
2014,3,29,2.93
2014,3,30,3.35
2014,3,31,3.19
2014,4,1,2.1
2014,4,2,3.02
2014,4,3,2.14
2014,4,4,2.84
2014,4,5,2.61
2014,4,6,2.8
2014,4,7,3.12
2014,4,8,3.02
2014,4,9,2.18
2014,4,10,2.6
2014,4,11,2.3
2014,4,12,3.2
2014,4,13,1.95
2014,4,14,3.21
2014,4,15,4.28
2014,4,16,2.8
2014,4,17,3.0
2014,4,18,3.18
2014,4,19,2.65
2014,4,20,2.71
2014,4,21,2.72
2014,4,22,4.38
2014,4,23,2.24
2014,4,24,2.48
2014,4,25,2.4
2014,4,26,3.68
2014,4,27,1.8
2014,4,28,2.08
2014,4,29,2.81
2014,4,30,2.81
2014,5,1,3.27
2014,5,2,5.12
2014,5,3,2.48
2014,5,4,4.29
2014,5,5,3.16
2014,5,6,2.71
2014,5,7,2.13
2014,5,8,3.64
2014,5,9,2.19
2014,5,10,3.8
2014,5,11,4.41
2014,5,12,3.08
2014,5,13,2.36
2014,5,14,2.93
2014,5,15,1.54
2014,5,16,3.05
2014,5,17,2.38
2014,5,18,2.67
2014,5,19,1.8
2014,5,20,1.9
2014,5,21,3.05
2014,5,22,2.29
2014,5,23,2.84
2014,5,24,2.2
2014,5,25,2.25
2014,5,26,2.63
2014,5,27,3.04
2014,5,28,2.08
2014,5,29,2.48
2014,5,30,3.3
2014,5,31,2.67
2014,6,1,1.83
2014,6,2,3.28
2014,6,3,2.61
2014,6,4,2.56
2014,6,5,2.09
2014,6,6,2.45
2014,6,7,3.38
2014,6,8,2.09
2014,6,9,2.34
2014,6,10,1.26
2014,6,11,1.82
2014,6,12,2.88
2014,6,13,1.46
2014,6,14,2.24
2014,6,15,1.72
2014,6,16,1.45
2014,6,17,1.5
2014,6,18,1.34
2014,6,19,1.95
2014,6,20,1.42
2014,6,21,2.12
2014,6,22,1.41
2014,6,23,2.02
2014,6,24,3.3
2014,6,25,2.93
2014,6,26,1.95
2014,6,27,2.52
2014,6,28,1.8
2014,6,29,2.31
2014,6,30,2.08
2014,7,1,2.63
2014,7,2,1.76
2014,7,3,2.65
2014,7,4,2.8
2014,7,5,1.84
2014,7,6,1.88
2014,7,7,2.02
2014,7,8,1.14
2014,7,9,1.7
2014,7,10,1.4
2014,7,11,1.55
2014,7,12,1.97
2014,7,13,1.79
2014,7,14,1.45
2014,7,15,1.45
2014,7,16,1.99
2014,7,17,1.26
2014,7,18,1.53
2014,7,19,1.84
2014,7,20,1.66
2014,7,21,1.65
2014,7,22,1.78
2014,7,23,2.05
2014,7,24,1.81
2014,7,25,1.94
2014,7,26,3.39
2014,7,27,2.67
2014,7,28,1.7
2014,7,29,1.66
2014,7,30,3.34
2014,7,31,1.73
2014,8,1,2.09
2014,8,2,2.96
2014,8,3,1.82
2014,8,4,2.05
2014,8,5,1.88
